Tiempo,Fuerza
26.978,0.08
27.068,0.1
27.158,0.12
27.249,0.2
27.339,0.61
27.429,3.53
27.52,8.29
27.61,12.16
27.7,17.95
27.79,24.85
27.88,35.54
27.97,49.87
28.06,56.51
28.151,58.79
28.241,59.9
28.332,60.42
28.422,60.03
28.512,60.09
28.602,60.03
28.692,61.53
28.782,74.73
28.872,113.81
28.962,106.65
29.053,81.62
29.144,80.4
29.234,83.69
29.324,81.15
29.414,70.15
29.504,57.31
29.594,48.95
29.684,44.61
29.774,42.3
29.864,40.44
29.956,37.38
30.046,33.2
30.136,27.91
30.226,20.81
30.316,12.67
30.406,5.75
30.496,1.46
30.586,0.15
30.676,0.02
30.767,0.02
30.857,0.02
30.948,0.02
31.038,0.02
31.128,0.02
31.218,0.03
31.308,0.03
31.398,0.03
31.489,0.03
31.579,0.03
31.669,0.03
31.759,0.03
31.849,0.03
31.94,0.03
32.03,0.04
32.12,0.03
32.21,0.03
32.301,0.03
32.391,0.03
32.481,0.03
32.571,0.04
32.661,0.05
32.751,0.05
32.842,0.04
32.932,0.04
33.022,0.04
33.113,0.04
33.203,0.05
33.293,0.05
33.383,0.04
33.473,0.04
33.563,0.04
33.653,0.05
33.743,0.05
33.835,0.04
33.925,0.05
34.015,0.05
34.105,0.05
34.195,0.05
34.285,0.05
34.375,0.05
34.465,0.05
34.555,0.05
34.646,0.05
34.736,0.06
34.827,0.05
34.917,0.05
35.007,0.05
35.097,0.05
35.187,0.05
35.277,0.05
35.367,0.05
35.458,0.05
35.548,0.05
35.638,0.05
35.729,0.05
35.819,0.05
35.909,0.05
35.999,0.05
36.089,0.05
36.179,0.05
36.27,0.05
36.36,0.05
36.45,0.05
36.54,0.05
36.63,0.05
36.721,0.05
36.811,0.05
36.901,0.05
36.992,0.05
37.082,0.05
37.172,0.05
37.262,0.06
37.352,0.06
37.442,0.05
37.532,0.05
37.623,0.05
37.713,0.05
37.804,0.05
37.894,0.05
37.984,0.05
38.074,0.06
38.164,0.05
38.254,0.06
38.344,0.06
38.434,0.06
38.524,0.06
38.616,0.06
38.706,0.06
38.796,0.06
38.886,0.06
38.976,0.06
39.066,0.06
39.156,0.07
39.246,0.07
39.336,0.07
39.427,0.06
39.517,0.07
39.608,0.07
39.698,0.07
39.788,0.07
39.878,0.08
39.968,0.07
40.058,0.07
40.148,0.07
40.239,0.08
40.329,0.08
40.419,0.08
40.51,0.07
40.6,0.07
40.69,0.07
40.78,0.07
40.87,0.08
40.961,0.07
41.051,0.07
41.141,0.07
41.231,0.07
41.321,0.07
41.412,0.07
41.502,0.07
41.592,0.07
41.682,0.08
41.773,0.07
41.863,0.07
41.953,0.07
42.043,0.07
42.133,0.08
42.223,0.08
42.313,0.07
42.404,0.08
42.494,0.08
42.585,0.08
42.675,0.07
42.765,0.08
42.855,0.07
42.945,0.07
43.035,0.08
43.125,0.08
43.215,0.07
43.305,0.07
43.396,0.07
43.487,0.07
43.577,0.08
43.667,0.08
43.757,0.08
43.847,0.08
43.937,0.08
44.027,0.08
44.118,0.08
44.208,0.08
44.298,0.08
44.388,0.08
44.478,0.08
44.568,0.08
44.659,0.07
44.749,0.08
44.839,0.08
44.93,0.07
45.02,0.07
45.11,0.07
45.2,0.07
45.29,0.08
45.38,0.07
45.47,0.07
45.56,0.07
45.65,0.07
45.742,0.07
45.832,0.07
45.922,0.07
46.012,0.08
46.102,0.07
46.192,0.07
46.282,0.08
46.372,0.08
46.462,0.07
46.553,0.07
46.643,0.08
46.733,0.08
46.823,0.07
46.914,0.08
47.004,0.08
47.094,0.07
47.184,0.07
47.275,0.08
47.365,0.08
47.455,0.08
47.545,0.08
47.635,0.08
47.725,0.08
47.815,0.08
47.905,0.08
47.996,0.08
48.087,0.08
48.177,0.08
48.267,0.08
48.357,0.08
48.447,0.08
48.537,0.08
48.627,0.08
48.717,0.08
48.807,0.08
48.898,0.09
48.989,0.09
49.079,0.08
49.169,0.08
49.259,0.08
49.349,0.08
49.439,0.08
49.529,0.08
49.619,0.08
49.71,0.08
49.8,0.09
49.891,0.09
49.981,0.09
50.071,0.09
50.161,0.09
50.251,0.09
50.341,0.09
50.432,0.09
50.522,0.1
50.612,0.1
50.702,0.09
50.793,0.09
50.883,0.1
50.973,0.09
51.063,0.09
51.153,0.09
51.244,0.09
51.334,0.1
51.424,0.1
51.514,0.09
