Tiempo,Fuerza
0.195,-0.32
0.285,-0.47
0.375,-0.49
0.465,-0.49
0.557,-0.48
0.647,-0.48
0.737,-0.49
0.827,-0.49
0.917,-0.49
1.007,-0.48
1.097,-0.49
1.187,-0.49
1.277,-0.49
1.368,-0.49
1.458,-0.49
1.548,-0.49
1.638,-0.49
1.729,-0.49
1.819,-0.49
1.909,-0.48
1.999,-0.48
2.089,-0.49
2.18,-0.49
2.27,-0.48
2.36,-0.48
2.45,-0.48
2.54,-0.48
2.63,-0.49
2.72,-0.49
2.81,-0.49
2.902,-0.48
2.992,-0.49
3.082,-0.49
3.172,-0.49
3.262,-0.49
3.352,-0.49
3.442,-0.49
3.532,-0.49
3.622,-0.49
3.713,-0.49
3.803,-0.49
3.893,-0.49
3.983,-0.5
4.073,-0.5
4.164,-0.5
4.254,-0.49
4.344,-0.49
4.434,-0.5
4.525,-0.5
4.615,-0.5
4.705,-0.49
4.795,-0.5
4.885,-0.5
4.975,-0.5
5.065,-0.5
5.155,-0.5
5.245,-0.5
5.337,-0.5
5.427,-0.5
5.517,-0.5
5.607,-0.5
5.697,-0.5
5.787,-0.5
5.877,-0.5
5.967,-0.5
6.057,-0.5
6.148,-0.5
6.238,-0.49
6.328,-0.5
6.418,-0.5
6.508,-0.5
6.599,-0.49
6.689,-0.49
6.779,-0.5
6.87,-0.5
6.96,-0.5
7.05,-0.5
7.14,-0.5
7.23,-0.5
7.32,-0.5
7.41,-0.5
7.5,-0.5
7.591,-0.5
7.682,-0.5
7.772,-0.5
7.862,-0.5
7.952,-0.5
8.042,-0.5
8.132,-0.5
8.222,-0.5
8.312,-0.49
8.402,-0.5
8.493,-0.5
8.583,-0.5
8.674,-0.5
8.764,-0.5
8.854,-0.5
8.944,-0.5
9.034,-0.49
9.124,-0.49
9.214,-0.5
9.305,-0.5
9.395,-0.5
9.485,-0.5
9.575,-0.5
9.666,-0.5
9.756,-0.5
9.846,-0.5
9.936,-0.49
10.027,-0.49
10.117,-0.49
10.207,-0.5
10.297,-0.49
10.387,-0.5
10.477,-0.49
10.567,-0.49
10.658,-0.5
10.748,-0.5
10.839,-0.49
10.929,-0.5
11.019,-0.5
11.109,-0.49
11.199,-0.5
11.289,-0.5
11.379,-0.49
11.469,-0.5
11.559,-0.5
11.651,-0.49
11.741,-0.49
11.831,-0.5
11.921,-0.5
12.011,-0.5
12.101,-0.5
12.191,-0.5
12.281,-0.5
12.371,-0.49
12.462,-0.49
12.552,-0.49
12.643,-0.48
12.733,-0.48
12.823,-0.49
12.913,-0.49
13.003,-0.49
13.093,-0.49
13.184,-0.5
13.274,-0.49
13.364,-0.5
13.454,-0.5
13.544,-0.5
13.634,-0.5
13.724,-0.49
13.815,-0.49
13.905,-0.5
13.996,-0.49
14.086,-0.5
14.176,-0.49
14.266,-0.49
14.356,-0.49
14.446,-0.5
14.536,-0.5
14.626,-0.5
14.716,-0.5
14.807,-0.5
14.897,-0.5
14.988,-0.5
15.078,-0.5
15.168,-0.5
15.258,-0.5
15.348,-0.5
15.438,-0.49
15.528,-0.5
15.619,-0.5
15.709,-0.5
15.799,-0.5
15.889,-0.49
15.979,-0.49
16.069,-0.49
16.16,-0.5
16.25,-0.5
16.34,-0.5
16.431,-0.49
16.521,-0.49
16.611,-0.5
16.701,-0.5
16.791,-0.49
16.881,-0.49
16.971,-0.49
17.061,-0.49
17.152,-0.49
17.242,-0.49
17.333,-0.49
17.423,-0.48
17.513,-0.49
17.603,-0.49
17.693,-0.49
17.783,-0.49
17.873,-0.48
17.964,-0.48
18.054,-0.48
18.144,-0.49
18.234,-0.49
18.324,-0.49
18.414,-0.48
18.505,-0.48
18.595,-0.49
18.685,-0.49
18.776,-0.49
18.866,-0.49
18.956,-0.49
19.046,-0.49
19.136,-0.49
19.226,-0.49
19.316,-0.49
19.406,-0.49
19.496,-0.49
19.587,-0.49
19.677,-0.49
19.767,-0.5
19.858,-0.49
19.948,-0.49
20.038,-0.49
20.128,-0.49
20.218,-0.49
20.308,-0.49
20.399,-0.49
20.489,-0.49
20.579,-0.49
20.669,-0.5
20.759,-0.5
20.849,-0.5
20.939,-0.5
21.029,-0.5
21.121,-0.5
21.211,-0.49
21.301,-0.5
21.391,-0.5
21.481,-0.49
21.571,-0.5
21.661,-0.51
21.751,-0.5
21.841,-0.49
21.932,-0.49
22.022,-0.49
22.112,-0.5
22.202,-0.49
22.292,-0.49
22.383,-0.5
22.473,-0.5
22.563,-0.5
22.653,-0.5
22.744,-0.49
22.834,-0.49
22.924,-0.49
23.014,-0.49
23.104,-0.49
23.194,-0.49
23.284,-0.49
23.374,-0.5
23.464,-0.5
23.555,-0.49
23.646,-0.49
23.736,-0.49
23.826,-0.49
23.916,-0.49
24.006,-0.49
24.096,-0.49
24.186,-0.49
24.276,-0.49
24.367,-0.5
24.457,-0.49
24.547,-0.49
24.637,-0.49
24.727,-0.49
24.818,-0.49
