Tiempo,Fuerza
0.000,-0.05
0.091,0.17
0.182,2.72
0.273,11.66
0.364,22.02
0.455,28.65
0.546,36.17
0.637,50.11
0.728,69.31
0.819,91.06
0.910,110.41
1.001,128.90
1.092,144.28
1.183,156.89
1.274,169.88
1.365,183.17
1.456,186.49
1.547,168.41
1.638,130.59
1.729,97.43
1.820,74.86
1.911,58.48
2.002,45.89
2.093,37.07
2.184,31.07
2.275,26.08
2.366,22.07
2.457,18.77
2.548,15.69
2.639,12.66
2.730,9.76
2.821,6.68
2.912,4.00
3.003,2.41
3.094,1.81
3.185,1.69
3.276,1.65
3.367,1.64
3.458,1.64
3.549,1.64
3.640,1.64
3.731,1.64
3.822,1.64
3.913,1.64
4.004,1.64
