Tiempo,Fuerza
0.0,0.24
0.079,0.23
0.169,0.06
0.26,-0.15
0.35,-0.18
0.44,-0.18
0.53,-0.18
0.62,-0.19
0.71,-0.18
0.8,-0.18
0.89,-0.18
0.982,-0.18
1.072,-0.18
1.162,-0.18
1.252,-0.18
1.342,-0.18
1.432,-0.17
1.522,-0.18
1.612,-0.19
1.702,-0.19
1.793,-0.18
1.883,-0.18
1.973,-0.18
2.064,-0.18
2.154,-0.17
2.244,-0.17
2.334,-0.18
2.424,-0.18
2.514,-0.18
2.605,-0.18
2.695,-0.18
2.785,-0.18
2.875,-0.18
2.965,-0.18
3.056,-0.18
3.146,-0.18
3.236,-0.19
3.326,-0.18
3.417,-0.18
3.507,-0.18
3.597,-0.18
3.687,-0.19
3.777,-0.18
3.868,-0.18
3.958,-0.18
4.048,-0.18
4.139,-0.18
4.229,-0.18
4.319,-0.18
4.409,-0.19
4.499,-0.19
4.589,-0.19
4.68,-0.18
4.77,-0.18
4.86,-0.18
4.951,-0.18
5.041,-0.18
5.131,-0.18
5.221,-0.18
5.311,-0.18
5.401,-0.18
5.492,-0.18
5.582,-0.18
5.672,-0.19
5.763,-0.18
5.853,-0.18
5.943,-0.18
6.033,-0.18
6.123,-0.18
6.213,-0.18
6.303,-0.18
6.394,-0.18
6.484,-0.18
6.575,-0.18
6.665,-0.18
6.755,-0.18
6.845,-0.18
6.935,-0.18
7.025,-0.18
7.115,-0.18
7.206,-0.17
7.297,-0.17
7.387,-0.17
7.477,-0.18
7.567,-0.18
7.657,-0.17
7.747,-0.16
7.837,-0.17
7.927,-0.17
8.018,-0.17
8.109,-0.17
8.199,-0.17
8.289,-0.17
8.379,-0.17
8.469,-0.17
8.559,-0.17
8.649,-0.18
8.739,-0.18
8.83,-0.18
8.921,-0.17
9.011,-0.17
9.101,-0.17
9.191,-0.18
9.281,-0.17
9.371,-0.17
9.461,-0.17
9.551,-0.17
9.643,-0.17
9.733,-0.17
9.823,-0.17
9.913,-0.17
10.003,-0.17
10.093,-0.17
10.183,-0.17
10.273,-0.17
10.363,-0.17
10.455,-0.17
10.545,-0.17
10.635,-0.17
10.725,-0.18
10.815,-0.18
10.905,-0.18
10.995,-0.18
11.085,-0.18
11.175,-0.18
11.267,-0.17
11.357,-0.17
11.447,-0.18
11.537,-0.17
11.627,-0.17
11.717,-0.17
11.807,-0.17
11.897,-0.17
11.987,-0.17
12.079,-0.17
12.169,-0.17
12.259,-0.17
12.349,-0.17
12.439,-0.17
12.529,-0.17
12.619,-0.17
12.709,-0.17
12.8,-0.17
12.89,-0.17
12.981,-0.17
13.071,-0.17
13.161,-0.17
13.251,-0.16
13.341,-0.18
13.431,-0.17
13.521,-0.17
13.612,-0.17
13.702,-0.17
13.792,-0.18
13.883,-0.17
13.973,-0.17
14.063,-0.17
14.153,-0.17
14.243,-0.17
14.333,-0.18
14.424,-0.18
14.514,-0.18
