Time - Plot 0	Bar - Plot 0	
16:36:40,74	-1,31612	
16:36:40,75	1,0305	
16:36:40,76	-1,8917	
16:36:40,76	1,60608	
16:36:40,78	-1,67032	
16:36:40,79	2,09312	
16:36:40,79	-3,83984	
16:36:40,80	0,897672	
16:36:40,81	-2,95432	
16:36:40,82	-0,120672	
16:36:40,83	-3,39708	
16:36:40,84	0,144983	
16:36:40,85	-3,70701	
16:36:40,86	-0,253499	
16:36:40,87	-0,519154	
16:36:40,88	-1,44895	
16:36:40,89	-0,740533	
16:36:40,90	-0,386326	
16:36:40,91	-1,36039	
16:36:40,92	-1,31612	
16:36:40,93	-1,84743	
16:36:40,94	-1,7146	
16:36:40,95	-0,474878	
16:36:40,96	-0,651981	
16:36:40,97	-0,740533	
16:36:40,98	-2,02453	
16:36:40,99	0,454914	
16:36:41,00	-1,75888	
16:36:41,01	1,42898	
16:36:41,02	-1,75888	
16:36:41,03	0,410638	
16:36:41,04	-2,06881	
16:36:41,04	1,51753	
16:36:41,05	-2,68867	
16:36:41,06	1,65036	
16:36:41,07	-3,1757	
16:36:41,08	-0,209223	
16:36:41,09	-3,08715	
16:36:41,10	-0,430602	
16:36:41,11	-1,93598	
16:36:41,12	-0,917636	
16:36:41,13	-0,784808	
16:36:41,14	-1,62605	
16:36:41,15	0,80912	
16:36:41,16	-0,917636	
16:36:41,17	-1,05046	
16:36:41,18	-0,740533	
16:36:41,19	1,0305	
16:36:41,19	-2,8215	
16:36:41,20	2,00457	
16:36:41,21	-3,3528	
16:36:41,22	-0,342051	
16:36:41,23	-3,1757	
16:36:41,24	-0,0321199	
16:36:41,25	-2,46729	
16:36:41,26	-1,27184	
16:36:41,27	-0,651981	
16:36:41,28	-1,00619	
16:36:41,29	-0,474878	
16:36:41,30	-0,740533	
16:36:41,31	1,51753	
16:36:41,32	-1,93598	
16:36:41,32	1,65036	
16:36:41,33	-3,39708	
16:36:41,34	1,47326	
16:36:41,35	-2,51156	
16:36:41,36	0,0121559	
16:36:41,37	-3,57418	
16:36:41,38	1,11905	
16:36:41,39	-3,44136	
16:36:41,40	-0,87336	
16:36:41,41	0,366362	
16:36:41,42	-2,15736	
16:36:41,43	-1,13901	
16:36:41,44	-0,651981	
16:36:41,45	-1,22757	
16:36:41,46	-0,607705	
16:36:41,47	-3,66274	
16:36:41,48	-0,829084	
16:36:41,49	-0,209223	
16:36:41,50	-1,36039	
16:36:41,51	-1,22757	
16:36:41,52	-1,18329	
16:36:41,53	0,322086	
16:36:41,54	-1,8917	
16:36:41,55	-0,120672	
16:36:41,56	-1,40467	
16:36:41,57	1,47326	
16:36:41,57	-2,64439	
16:36:41,59	1,82746	
16:36:41,60	-2,02453	
16:36:41,61	0,277811	
16:36:41,62	-1,98026	
16:36:41,63	-1,5375	
16:36:41,64	-0,784808	
16:36:41,65	-0,297775	
16:36:41,66	0,189259	
16:36:41,67	-3,13143	
16:36:41,69	1,60608	
16:36:41,69	-3,39708	
16:36:41,70	0,941948	
16:36:41,72	-2,51156	
16:36:41,73	-0,474878	
16:36:41,74	0,100707	
16:36:41,75	-3,26425	
16:36:41,77	2,13739	
16:36:41,77	-2,95432	
16:36:41,78	0,0121559	
16:36:41,79	-3,48563	
16:36:41,81	2,22595	
16:36:41,82	-1,8917	
16:36:41,83	0,764844	
16:36:41,84	-0,784808	
16:36:41,85	-0,253499	
16:36:41,86	-1,75888	
16:36:41,86	1,65036	
16:36:41,88	-1,5375	
16:36:41,89	-1,8917	
16:36:41,90	-1,22757	
16:36:41,91	-3,75129	
16:36:41,92	-0,0763957	
16:36:41,93	-3,30853	
16:36:41,94	0,0121559	
16:36:41,95	-3,30853	
16:36:41,96	-0,607705	
16:36:41,97	-1,62605	
16:36:41,98	-1,5375	
16:36:41,99	-0,430602	
16:36:42,00	-0,253499	
16:36:42,01	-1,7146	
16:36:42,02	-1,09474	
16:36:42,03	1,34043	
16:36:42,04	-2,06881	
16:36:42,05	-1,09474	
16:36:42,06	-0,164947	
16:36:42,07	1,65036	
16:36:42,07	-2,51156	
16:36:42,08	1,65036	
16:36:42,10	-1,44895	
16:36:42,11	-0,917636	
16:36:42,12	-1,36039	
16:36:42,13	-0,120672	
16:36:42,14	-0,784808	
16:36:42,15	-1,18329	
16:36:42,16	-0,696257	
16:36:42,17	-1,40467	
16:36:42,18	-0,519154	
16:36:42,19	-2,77722	
16:36:42,20	-0,740533	
16:36:42,21	-3,21998	
16:36:42,22	0,277811	
16:36:42,23	-2,29019	
16:36:42,24	-0,519154	
16:36:42,25	-2,95432	
16:36:42,26	-0,164947	
16:36:42,27	-3,21998	
16:36:42,28	-0,0321199	
16:36:42,29	-3,1757	
16:36:42,30	-1,13901	
16:36:42,31	-2,9986	
16:36:42,33	1,65036	
16:36:42,33	-3,66274	
16:36:42,35	0,49919	
16:36:42,36	-0,784808	
16:36:42,37	-1,7146	
16:36:42,38	-0,253499	
16:36:42,39	-3,26425	
16:36:42,40	0,144983	
16:36:42,41	-3,44136	
16:36:42,42	1,51753	
16:36:42,43	-3,04287	
16:36:42,44	1,73891	
16:36:42,45	-2,51156	
16:36:42,46	-0,297775	
16:36:42,47	-2,95432	
16:36:42,48	-0,430602	
16:36:42,49	-3,79556	
16:36:42,50	-0,253499	
16:36:42,51	-1,62605	
16:36:42,52	-0,917636	
16:36:42,53	-2,91005	
16:36:42,54	-0,120672	
16:36:42,55	-2,51156	
16:36:42,56	-0,386326	
16:36:42,57	-0,342051	
16:36:42,58	-0,563429	
16:36:42,59	-2,55584	
16:36:42,60	-1,09474	
16:36:42,61	-3,57418	
16:36:42,62	-0,386326	
16:36:42,63	-0,297775	
16:36:42,64	-0,829084	
16:36:42,65	0,366362	
16:36:42,66	-1,93598	
16:36:42,67	0,233535	
16:36:42,68	-1,44895	
16:36:42,69	-0,917636	
16:36:42,70	-1,7146	
16:36:42,71	-1,7146	
16:36:42,72	-0,917636	
16:36:42,73	0,676293	
16:36:42,74	-1,27184	
16:36:42,75	0,100707	
16:36:42,76	-0,961912	
16:36:42,77	-0,563429	
16:36:42,78	-1,00619	
16:36:42,79	-3,13143	
16:36:42,80	-0,386326	
16:36:42,81	-4,01694	
16:36:42,82	-0,386326	
16:36:42,83	-3,08715	
16:36:42,84	0,144983	
16:36:42,85	-2,86577	
16:36:42,86	-1,5375	
16:36:42,87	-0,917636	
16:36:42,88	-1,05046	
16:36:42,89	-2,06881	
16:36:42,90	-1,40467	
16:36:42,91	-0,651981	
16:36:42,92	-1,05046	
16:36:42,93	0,853396	
16:36:42,94	-1,84743	
16:36:42,95	-0,164947	
16:36:42,96	-1,09474	
16:36:42,97	-1,75888	
16:36:42,98	0,144983	
16:36:42,99	-3,70701	
16:36:43,00	0,144983	
16:36:43,02	-2,02453	
16:36:43,03	-0,519154	
16:36:43,04	-1,62605	
16:36:43,05	-2,42301	
16:36:43,06	-0,342051	
16:36:43,07	-2,9986	
16:36:43,08	-0,386326	
16:36:43,09	-2,9986	
16:36:43,10	-0,430602	
16:36:43,11	-3,61846	
16:36:43,12	-0,0763957	
16:36:43,13	-1,36039	
16:36:43,14	-0,164947	
16:36:43,15	-3,39708	
16:36:43,16	0,144983	
16:36:43,17	-3,92839	
16:36:43,18	-0,253499	
16:36:43,19	-2,8215	
16:36:43,20	-0,607705	
16:36:43,21	-3,21998	
16:36:43,22	-0,0321199	
16:36:43,23	-1,40467	
16:36:43,24	-0,0763957	
16:36:43,25	-3,04287	
16:36:43,26	1,91602	
16:36:43,28	-1,31612	
16:36:43,29	-3,57418	
16:36:43,30	0,189259	
16:36:43,31	-3,3528	
16:36:43,32	0,941948	
16:36:43,33	-3,88411	
16:36:43,34	-0,386326	
16:36:43,35	-3,70701	
16:36:43,36	-0,0321199	
16:36:43,37	-3,44136	
16:36:43,38	1,60608	
16:36:43,39	-3,26425	
16:36:43,40	-0,120672	
16:36:43,41	-2,95432	
16:36:43,42	1,42898	
16:36:43,43	-3,26425	
16:36:43,45	1,51753	
16:36:43,46	-1,7146	
16:36:43,47	2,00457	
16:36:43,48	-2,77722	
16:36:43,48	1,65036	
16:36:43,50	-2,24591	
16:36:43,51	-0,563429	
16:36:43,52	-1,18329	
16:36:43,53	-3,83984	
16:36:43,54	-0,120672	
16:36:43,56	-2,64439	
16:36:43,57	1,87174	
16:36:43,58	-1,84743	
16:36:43,59	1,07478	
16:36:43,60	-0,519154	
16:36:43,61	-1,93598	
16:36:43,62	-0,0763957	
16:36:43,63	-3,44136	
16:36:43,64	0,144983	
16:36:43,65	-3,21998	
16:36:43,66	-0,917636	
16:36:43,67	-2,42301	
16:36:43,68	-0,0321199	
16:36:43,69	-3,04287	
16:36:43,70	-0,297775	
16:36:43,71	-3,3528	
16:36:43,72	1,91602	
16:36:43,73	-2,64439	
16:36:43,75	0,853396	
16:36:43,76	-1,22757	
16:36:43,77	-0,961912	
16:36:43,78	-0,297775	
16:36:43,79	-3,21998	
16:36:43,80	-0,120672	
16:36:43,81	-2,86577	
16:36:43,83	1,91602	
16:36:43,84	-2,51156	
16:36:43,84	0,277811	
16:36:43,85	-2,91005	
16:36:43,87	1,60608	
16:36:43,87	-4,2826	
16:36:43,88	0,144983	
16:36:43,89	-3,57418	
16:36:43,90	-0,164947	
16:36:43,91	-2,15736	
16:36:43,92	-0,297775	
16:36:43,93	-1,44895	
16:36:43,94	-0,651981	
16:36:43,95	0,0121559	
16:36:43,96	-0,0763957	
16:36:43,97	-3,79556	
16:36:43,98	1,38471	
